Name of preset,Alternative names,Atmosphere,business_type,section_type ,path,atmosphere_original,reviewed
Scroll_3D_Animation,,"[""depth"", ""3d"", ""dimensional"", ""perspective"", ""layered"", ""horizontal"", ""gradual"", ""flowing"", ""continuous"", ""smooth"", ""subtle"", ""effortless""]",,,Gallery-and-Carousel/Scroll_3D_Animation.html,"[""depth"", ""3d"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""horizontal"", ""gradual"", ""flowing"", ""continuous"", ""smooth"", ""subtle"", ""effortless""]",2026-08-30T13:11:53
SnakeAnimation,,"[""alive"", ""zoom"", ""revealing"", ""transformative"", ""smooth"", ""gentle"", ""dynamic"", ""organic"", ""staggered"", ""immersive"", ""impactful"", ""surprising"", ""unique"", ""charming"", ""calm""]",,,Gallery-and-Carousel/SnakeAnimation.html,"[""alive"", ""zoom"", ""revealing"", ""transformative"", ""smooth"", ""gentle"", ""playful"", ""dynamic"", ""organic"", ""staggered"", ""immersive"", ""impactful""]",2026-08-30T13:15:26
SpecimenCardGallery,,"[""elegant"", ""refined"", ""smooth"", ""polished"", ""depth"", ""dimensional"", ""revealing"", ""layered"", ""silky"", ""horizontal"", ""minimal"", ""calm"", ""gradual"", ""classic""]",,,Gallery-and-Carousel/SpecimenCardGallery.html,"[""elegant"", ""refined"", ""smooth"", ""polished"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""revealing"", ""layered"", ""silky"", ""horizontal"", ""minimal""]",2026-08-30T13:15:55
Vertical3Dcards,,"[""dynamic"", ""bold"", ""smooth"", ""playful"", ""3d"", ""depth"", ""dimensional"", ""perspective"", ""vertical"", ""revealing"", ""layered"", ""graphic"", ""confident"", ""futuristic"", ""attention-grabbing""]",,,Gallery-and-Carousel/Vertical3Dcards.html,"[""dynamic"", ""bold"", ""smooth"", ""playful"", ""3d"", ""depth"", ""dimensional"", ""perspective"", ""vertical"", ""revealing"", ""layered"", ""graphic""]",2026-08-30T13:18:39
WindowScroll,,"[""3d"", ""depth"", ""dimensional"", ""layered"", ""gradual"", ""continuous"", ""flowing"", ""immersive"", ""bold"", ""poppy"", ""impactful""]",,,Gallery-and-Carousel/WindowScroll.html,"[""3d"", ""depth"", ""dimensional"", ""spatial"", ""perspective"", ""layered"", ""gradual"", ""continuous"", ""flowing"", ""immersive"", ""bold"", ""poppy"", ""impactful""]",2026-08-30T13:13:53
blow-masthead-header,,"[""elegant"", ""classic"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""graphic"", ""gradual"", ""continuous"", ""effortless"", ""transformative""]",,,Headers/blow-masthead-header.html,"[""elegant"", ""classic"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""graphic"", ""gradual"", ""continuous"", ""effortless"", ""transformative"", ""revealing"", ""vertical""]",2026-08-30T13:18:57
capezzani-wordmark-header,,"[""subtle"", ""understated"", ""elegant"", ""classic"", ""refined"", ""minimal"", ""clean"", ""sophisticated"", ""gradual"", ""continuous"", ""effortless"", ""transformative""]",,,Headers/capezzani-wordmark-header.html,"[""subtle"", ""understated"", ""elegant"", ""classic"", ""refined"", ""minimal"", ""clean"", ""sophisticated"", ""gradual"", ""continuous"", ""effortless"", ""transformative"", ""vertical""]",2026-08-30T13:19:17
collapsing-logo-header,,"[""polished"", ""refined"", ""smooth"", ""clean"", ""minimal"", ""poppy"", ""effortless"", ""transformative"", ""horizontal"", ""silky"", ""subtle"", ""organic"", ""elegant""]",,,Headers/collapsing-logo-header.html,"[""polished"", ""refined"", ""smooth"", ""interactive"", ""clean"", ""minimal"", ""playful"", ""alive"", ""poppy"", ""silky"", ""effortless"", ""transformative"", ""horizontal""]",2026-08-30T13:21:34
invert-header,,"[""subtle"", ""clean"", ""minimal"", ""understated"", ""refined"", ""elegant"", ""confident"", ""smooth"", ""transformative"", ""revealing"", ""graphic""]",,,Headers/invert-header.html,"[""subtle"", ""clean"", ""minimal"", ""understated"", ""refined"", ""elegant"", ""confident"", ""smooth"", ""gradual"", ""continuous"", ""transformative"", ""revealing"", ""graphic""]",2026-08-27T16:48:34
scroll-side-reveal-header,,"[""clean"", ""minimal"", ""subtle"", ""understated"", ""refined"", ""elegant"", ""smooth"", ""seamless"", ""gradual"", ""revealing"", ""transformative"", ""horizontal"", ""modern""]",,,Headers/scroll-side-reveal-header.html,"[""clean"", ""minimal"", ""subtle"", ""understated"", ""refined"", ""elegant"", ""smooth"", ""seamless"", ""gradual"", ""revealing"", ""transformative"", ""horizontal""]",2026-08-30T13:21:58
spectrum-collapse-header,,"[""bold"", ""impactful"", ""graphic"", ""confident"", ""clean"", ""minimal"", ""structured"", ""smooth"", ""gradual"", ""continuous"", ""transformative"", ""vertical""]",,,Headers/spectrum-collapse-header.html,,2026-08-30T13:22:17
visionaire-logo-header,,"[""smooth"", ""polished"", ""refined"", ""clean"", ""minimal"", ""playful"", ""poppy"", ""energetic"", ""revealing"", ""transformative"", ""circular"", ""zoom"", ""horizontal"", ""subtle"", ""organic"", ""elegant""]",,,Headers/visionaire-logo-header.html,"[""smooth"", ""polished"", ""refined"", ""clean"", ""minimal"", ""playful"", ""poppy"", ""energetic"", ""revealing"", ""transformative"", ""circular"", ""zoom"", ""horizontal""]",2026-08-30T13:22:36
wordmark-handoff-header,,"[""clean"", ""minimal"", ""understated"", ""refined"", ""subtle"", ""elegant"", ""polished"", ""smooth"", ""gradual"", ""structured"", ""organized"", ""transformative"", ""gentle"", ""soft"", ""calm"", ""high-end""]",,,Headers/wordmark-handoff-header.html,"[""clean"", ""minimal"", ""understated"", ""refined"", ""subtle"", ""elegant"", ""polished"", ""smooth"", ""gradual"", ""structured"", ""organized"", ""transformative""]",2026-08-30T13:22:57
3d-blinds-flip-reveal,,"[""bold"", ""impactful"", ""confident"", ""dynamic"", ""techy"", ""polished"", ""smooth"", ""depth"", ""3d"", ""dimensional"", ""layered"", ""revealing"", ""staggered"", ""graphic"", ""edgy"", ""futuristic"", ""attention-grabbing"", ""expressive"", ""immersive"", ""cool""]",,,Image_Background/3d-blinds-flip-reveal.html,"[""bold"", ""impactful"", ""confident"", ""dynamic"", ""techy"", ""polished"", ""smooth"", ""depth"", ""3d"", ""dimensional"", ""layered"", ""revealing"", ""staggered""]",2026-08-30T14:06:08
BG_Image_ShapeMask_Gallery,,"[""elegant"", ""refined"", ""calm"", ""gentle"", ""soft"", ""minimal"", ""smooth"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""organic"", ""transformative"", ""modern"", ""sophisticated""]",,,Image_Background/BG_Image_ShapeMask_Gallery.html,"[""elegant"", ""refined"", ""calm"", ""gentle"", ""soft"", ""minimal"", ""smooth"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""organic"", ""transformative""]",2026-08-30T14:07:37
BG_image_ShapeMask,,"[""elegant"", ""refined"", ""calm"", ""gentle"", ""soft"", ""minimal"", ""smooth"", ""gradual"", ""revealing"", ""shape"", ""organic"", ""subtle"", ""classic""]",,,Image_Background/BG_image_ShapeMask.html,"[""elegant"", ""refined"", ""calm"", ""gentle"", ""soft"", ""minimal"", ""smooth"", ""gradual"", ""revealing"", ""shape"", ""organic"", ""subtle""]",2026-08-30T14:07:21
Diagonal_Slideshow,,"[""bold"", ""edgy"", ""cool"", ""sophisticated"", ""expressive"", ""artistic"", ""dynamic"", ""futuristic"", ""gradual"", ""revealing"", ""transformative"", ""layered"", ""staggered"", ""graphic"", ""impactful"", ""attention-grabbing"", ""techy""]",,,Image_Background/Diagonal_Slideshow.html,"[""bold"", ""edgy"", ""cool"", ""sophisticated"", ""expressive"", ""artistic"", ""dynamic"", ""futuristic"", ""gradual"", ""revealing"", ""transformative"", ""layered"", ""staggered""]",2026-08-30T14:08:39
Kinetic 155 Horizon,,"[""elegant"", ""refined"", ""calm"", ""minimal"", ""high-end"", ""smooth"", ""polished"", ""interactive"", ""alive"", ""depth"", ""perspective"", ""3d"", ""dimensional"", ""classic"", ""subtle"", ""clean"", ""soft"", ""gentle"", ""understated""]",,,Image_Background/Kinetic 155 Horizon.html,"[""elegant"", ""refined"", ""calm"", ""minimal"", ""high-end"", ""smooth"", ""polished"", ""interactive"", ""alive"", ""depth"", ""perspective"", ""3d"", ""dimensional""]",2026-08-30T14:10:09
TextMask2Image,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""elegant"", ""clean"", ""smooth"", ""gradual"", ""zoom"", ""revealing"", ""transformative"", ""immersive"", ""cool"", ""high-end"", ""modern"", ""creative""]",,,Image_Background/TextMask2Image.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""elegant"", ""clean"", ""smooth"", ""gradual"", ""zoom"", ""revealing"", ""transformative"", ""immersive""]",2026-08-30T14:16:52
auto-shape-cycle,,"[""elegant"", ""refined"", ""clean"", ""sophisticated"", ""organic"", ""shape"", ""smooth"", ""continuous"", ""endless"", ""seamless"", ""gradual"", ""calm"", ""minimal"", ""soft"", ""gentle"", ""cloudy"", ""transformative"", ""graceful"", ""modern""]",,,Image_Background/auto-shape-cycle.html,"[""elegant"", ""refined"", ""clean"", ""sophisticated"", ""organic"", ""shape"", ""smooth"", ""continuous"", ""endless"", ""seamless"", ""gradual"", ""calm"", ""minimal""]",2026-08-30T13:47:16
column-squeeze-reveal,,"[""graphic"", ""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""structured"", ""gradual"", ""smooth"", ""transformative"", ""zoom"", ""revealing"", ""classic"", ""calm"", ""subtle"", ""understated"", ""shape"", ""soft"", ""gentle"", ""clean"", ""organic""]",,,Image_Background/column-squeeze-reveal.html,"[""bold"", ""graphic"", ""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""structured"", ""gradual"", ""smooth"", ""transformative"", ""zoom"", ""revealing""]",2026-08-30T13:55:33
dot-churn,,"[""poppy"", ""surprising"", ""graphic"", ""bold"", ""edgy"", ""artistic"", ""expressive"", ""unconventional"", ""endless"", ""continuous"", ""staggered"", ""alive"", ""energetic"", ""attention-grabbing"", ""futuristic""]",,,Image_Background/dot-churn.html,"[""playful"", ""poppy"", ""surprising"", ""graphic"", ""bold"", ""edgy"", ""artistic"", ""expressive"", ""unconventional"", ""endless"", ""continuous"", ""staggered"", ""alive""]",2026-08-30T14:09:04
horizontal-stripe-cascade-reveal,,"[""smooth"", ""polished"", ""dynamic"", ""confident"", ""clean"", ""minimal"", ""techy"", ""horizontal"", ""staggered"", ""cascading"", ""revealing"", ""zoom"", ""layered"", ""graphic"", ""futuristic"", ""cool""]",,,Image_Background/horizontal-stripe-cascade-reveal.html,"[""smooth"", ""polished"", ""dynamic"", ""confident"", ""clean"", ""minimal"", ""techy"", ""horizontal"", ""staggered"", ""cascading"", ""revealing"", ""zoom"", ""layered""]",2026-08-30T14:09:53
left-panel-slide-out-reveal,,"[""smooth"", ""elegant"", ""clean"", ""minimal"", ""refined"", ""calm"", ""understated"", ""polished"", ""horizontal"", ""revealing"", ""gradual"", ""layered"", ""subtle"", ""soft"", ""gentle"", ""classic""]",,,Image_Background/left-panel-slide-out-reveal.html,"[""smooth"", ""elegant"", ""clean"", ""minimal"", ""refined"", ""calm"", ""understated"", ""polished"", ""horizontal"", ""revealing"", ""gradual"", ""layered""]",2026-08-30T14:10:24
line-churn,,"[""bold"", ""graphic"", ""impactful"", ""edgy"", ""experimental"", ""creative"", ""endless"", ""continuous"", ""revealing"", ""transformative"", ""horizontal"", ""staggered"", ""structured"", ""artistic"", ""attention-grabbing"", ""techy"", ""dynamic"", ""cool"", ""unconventional"", ""surprising"", ""futuristic""]",,,Image_Background/line-churn.html,"[""bold"", ""graphic"", ""impactful"", ""edgy"", ""experimental"", ""creative"", ""endless"", ""continuous"", ""revealing"", ""transformative"", ""horizontal"", ""staggered"", ""structured""]",2026-08-30T14:09:29
lumina-orbit-scroll,,"[""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""calm"", ""immersive"", ""classic"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""zoom"", ""gradual"", ""layered"", ""graceful"", ""modern""]",,,Image_Background/lumina-orbit-scroll.html,"[""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""calm"", ""immersive"", ""classic"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""zoom"", ""gradual""]",2026-08-30T14:10:38
manifest-expand-scroll,,"[""bold"", ""impactful"", ""graphic"", ""confident"", ""refined"", ""high-end"", ""cool"", ""gradual"", ""revealing"", ""zoom"", ""transformative"", ""shape""]",,,Image_Background/manifest-expand-scroll.html,"[""bold"", ""impactful"", ""graphic"", ""confident"", ""minimal"", ""refined"", ""high-end"", ""cool"", ""gradual"", ""revealing"", ""zoom"", ""transformative"", ""shape""]",2026-08-30T14:12:32
manifest-expand-scroll_02,,"[""bold"", ""impactful"", ""graphic"", ""confident"", ""minimal"", ""refined"", ""cool"", ""gradual"", ""revealing"", ""zoom"", ""transformative"", ""shape"", ""organic"", ""expressive""]",,,Image_Background/manifest-expand-scroll_02.html,"[""bold"", ""impactful"", ""graphic"", ""confident"", ""minimal"", ""refined"", ""high-end"", ""cool"", ""gradual"", ""revealing"", ""zoom"", ""transformative"", ""shape""]",2026-08-30T14:12:53
pixel-churn,,"[""bold"", ""graphic"", ""impactful"", ""techy"", ""creative"", ""surprising"", ""expressive"", ""endless"", ""continuous"", ""staggered"", ""structured"", ""revealing"", ""edgy"", ""dynamic"", ""experimental"", ""attention-grabbing"", ""confident"", ""artistic"", ""futuristic""]",,,Image_Background/pixel-churn.html,"[""bold"", ""graphic"", ""impactful"", ""techy"", ""creative"", ""surprising"", ""expressive"", ""endless"", ""continuous"", ""staggered"", ""structured"", ""revealing""]",2026-08-30T14:14:20
rift-slit-reveal-02,,"[""elegant"", ""refined"", ""high-end"", ""bold"", ""sophisticated"", ""cool"", ""revealing"", ""shape"", ""zoom"", ""gradual"", ""staggered"", ""transformative"", ""smooth"", ""modern"", ""continuous""]",,,Image_Background/rift-slit-reveal-02.html,"[""elegant"", ""minimal"", ""refined"", ""high-end"", ""bold"", ""sophisticated"", ""cool"", ""revealing"", ""shape"", ""zoom"", ""gradual"", ""staggered"", ""transformative""]",2026-08-30T14:20:32
rift-slit-reveal,,"[""elegant"", ""refined"", ""high-end"", ""bold"", ""sophisticated"", ""cool"", ""revealing"", ""shape"", ""zoom"", ""gradual"", ""staggered"", ""transformative"", ""organic"", ""smooth"", ""modern""]",,,Image_Background/rift-slit-reveal.html,"[""elegant"", ""minimal"", ""refined"", ""high-end"", ""bold"", ""sophisticated"", ""cool"", ""revealing"", ""shape"", ""zoom"", ""gradual"", ""staggered"", ""transformative""]",2026-08-30T14:20:08
scroll-shape-morph,,"[""clean"", ""minimal"", ""creative"", ""elegant"", ""graphic"", ""refined"", ""shape"", ""transformative"", ""organic"", ""gradual"", ""revealing"", ""calm"", ""high-end"", ""sophisticated"", ""modern""]",,,Image_Background/scroll-shape-morph.html,"[""clean"", ""minimal"", ""playful"", ""creative"", ""elegant"", ""graphic"", ""refined"", ""shape"", ""transformative"", ""organic"", ""gradual"", ""revealing""]",2026-08-30T14:15:18
scroll-shape-shift-interior,,"[""elegant"", ""refined"", ""clean"", ""sophisticated"", ""minimal"", ""smooth"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""transformative"", ""organic"", ""modern"", ""high-end"", ""gentle"", ""subtle""]",,,Image_Background/scroll-shape-shift-interior.html,"[""elegant"", ""refined"", ""clean"", ""sophisticated"", ""minimal"", ""smooth"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""transformative"", ""organic""]",2026-08-30T14:15:54
staggered-stripes-reveal,,"[""bold"", ""impactful"", ""confident"", ""dynamic"", ""techy"", ""polished"", ""smooth"", ""seamless"", ""staggered"", ""cascading"", ""revealing"", ""zoom"", ""structured"", ""futuristic"", ""edgy"", ""graphic"", ""cool"", ""attention-grabbing"", ""expressive"", ""unique""]",,,Image_Background/staggered-stripes-reveal.html,"[""bold"", ""impactful"", ""confident"", ""dynamic"", ""techy"", ""polished"", ""smooth"", ""seamless"", ""staggered"", ""cascading"", ""revealing"", ""zoom"", ""structured""]",2026-08-30T14:15:35
sticky-perspective-shrink,,"[""elegant"", ""sophisticated"", ""refined"", ""high-end"", ""calm"", ""gradual"", ""depth"", ""perspective"", ""3d"", ""dimensional"", ""zoom"", ""modern"", ""immersive"", ""graceful""]",,,Image_Background/sticky-perspective-shrink.html,"[""elegant"", ""sophisticated"", ""refined"", ""high-end"", ""classic"", ""minimal"", ""calm"", ""gradual"", ""depth"", ""perspective"", ""3d"", ""dimensional"", ""zoom""]",2026-08-30T14:17:34
Column_Shutters,,"[""clean"", ""structured"", ""organized"", ""interactive"", ""bold"", ""graphic"", ""polished"", ""smooth"", ""refined"", ""staggered"", ""cascading"", ""horizontal"", ""alive"", ""techy"", ""elegant"", ""poppy"", ""futuristic"", ""cool"", ""modern""]",,,Lists/Column_Shutters.html,"[""clean"", ""structured"", ""organized"", ""interactive"", ""bold"", ""graphic"", ""polished"", ""smooth"", ""refined"", ""staggered"", ""cascading"", ""horizontal"", ""alive""]",2026-08-30T13:51:07
Flex_Cards,,"[""clean"", ""structured"", ""organized"", ""interactive"", ""bold"", ""graphic"", ""polished"", ""smooth"", ""refined"", ""staggered"", ""horizontal"", ""gradual"", ""alive"", ""minimal"", ""elegant"", ""effortless"", ""subtle""]",,,Lists/Flex_Cards.html,"[""clean"", ""structured"", ""organized"", ""interactive"", ""bold"", ""graphic"", ""polished"", ""smooth"", ""refined"", ""staggered"", ""horizontal"", ""gradual"", ""alive""]",2026-08-30T13:51:26
Horizontal_parting_list,,"[""edgy"", ""techy"", ""graphic"", ""interactive"", ""unique"", ""creative"", ""cool"", ""horizontal"", ""flowing"", ""continuous"", ""gradual"", ""revealing"", ""bold"", ""experimental"", ""futuristic"", ""dynamic"", ""surprising"", ""playful"", ""artistic""]",,,Lists/Horizontal_parting_list.html,"[""edgy"", ""techy"", ""graphic"", ""interactive"", ""unique"", ""creative"", ""cool"", ""horizontal"", ""flowing"", ""continuous"", ""gradual"", ""revealing"", ""zoom""]",2026-08-30T13:48:54
Icon_Pill_Slider,,"[""elegant"", ""refined"", ""clean"", ""interactive"", ""understated"", ""smooth"", ""silky"", ""polished"", ""horizontal"", ""revealing"", ""circular"", ""staggered"", ""graceful"", ""flowing"", ""soft"", ""gentle""]",,,Lists/Icon_Pill_Slider.html,"[""elegant"", ""refined"", ""clean"", ""interactive"", ""understated"", ""smooth"", ""silky"", ""polished"", ""effortless"", ""horizontal"", ""revealing"", ""circular"", ""staggered""]",2026-08-30T13:52:36
Icon_Pill_Slider_Scroll,,"[""elegant"", ""refined"", ""sophisticated"", ""minimal"", ""smooth"", ""gradual"", ""flowing"", ""continuous"", ""effortless"", ""horizontal"", ""circular"", ""revealing"", ""staggered"", ""clean"", ""silky"", ""transformative""]",,,Lists/Icon_Pill_Slider_Scroll.html,"[""elegant"", ""refined"", ""sophisticated"", ""minimal"", ""smooth"", ""gradual"", ""flowing"", ""continuous"", ""effortless"", ""horizontal"", ""circular"", ""revealing"", ""staggered""]",2026-08-30T13:53:19
MouseTrack_Parting_List,,"[""playful"", ""alive"", ""unique"", ""interactive"", ""creative"", ""cool"", ""techy"", ""graphic"", ""surprising"", ""revealing"", ""horizontal"", ""vertical"", ""effortless"", ""fun"", ""bold"", ""poppy"", ""expressive"", ""edgy"", ""dynamic"", ""experimental"", ""futuristic""]",,,Lists/MouseTrack_Parting_List.html,"[""playful"", ""alive"", ""unique"", ""interactive"", ""creative"", ""cool"", ""techy"", ""graphic"", ""surprising"", ""revealing"", ""horizontal"", ""vertical"", ""effortless""]",2026-08-30T13:49:13
Parting_List,,"[""edgy"", ""techy"", ""graphic"", ""unique"", ""creative"", ""cool"", ""structured"", ""horizontal"", ""revealing"", ""zoom"", ""gradual"", ""continuous"", ""artistic"", ""futuristic"", ""dynamic"", ""bold"", ""experimental"", ""surprising"", ""impactful"", ""expressive"", ""attention-grabbing""]",,,Lists/Parting_List.html,"[""edgy"", ""techy"", ""graphic"", ""unique"", ""creative"", ""cool"", ""structured"", ""horizontal"", ""revealing"", ""zoom"", ""gradual"", ""continuous""]",2026-08-30T13:45:59
Product_Stroll_List,,"[""smooth"", ""polished"", ""clean"", ""refined"", ""elegant"", ""sophisticated"", ""structured"", ""staggered"", ""revealing"", ""transformative"", ""zoom"", ""impactful"", ""high-end"", ""gradual"", ""unique"", ""bold"", ""creative"", ""luxurious"", ""eye catching""]",,,Lists/Product_Stroll_List.html,"[""smooth"", ""polished"", ""clean"", ""refined"", ""elegant"", ""sophisticated"", ""minimal"", ""structured"", ""staggered"", ""revealing"", ""transformative"", ""zoom"", ""impactful""]",2026-08-30T13:46:41
Split_Screen_Scroll,,"[""bold"", ""impactful"", ""dynamic"", ""edgy"", ""graphic"", ""attention-grabbing"", ""cool"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""revealing"", ""staggered"", ""immersive"", ""layered"", ""futuristic"", ""confident"", ""artistic"", ""techy""]",,,Lists/Split_Screen_Scroll.html,"[""bold"", ""impactful"", ""dynamic"", ""edgy"", ""graphic"", ""attention-grabbing"", ""cool"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""revealing"", ""staggered""]",2026-08-30T13:48:16
Word_Cloud_List,,"[""alive"", ""organic"", ""playful"", ""interactive"", ""soft"", ""understated"", ""elegant"", ""clean"", ""smooth"", ""zoom"", ""creative"", ""refined"", ""modern"", ""graceful"", ""silky"", ""shape"", ""high-end""]",,,Lists/Word_Cloud_List.html,"[""alive"", ""organic"", ""playful"", ""interactive"", ""soft"", ""subtle"", ""minimal"", ""understated"", ""elegant"", ""clean"", ""smooth"", ""zoom"", ""creative""]",2026-08-30T13:47:51
$lot_Machine,,"[""playful"", ""bold"", ""dynamic"", ""energetic"", ""surprising"", ""fun"", ""graphic"", ""impactful"", ""attention-grabbing"", ""staggered"", ""revealing"", ""vertical"", ""circular"", ""spiraling"", ""futuristic"", ""edgy""]",,,Typographic_interactions/$lot_Machine.html,"[""playful"", ""bold"", ""dynamic"", ""energetic"", ""surprising"", ""fun"", ""graphic"", ""impactful"", ""attention-grabbing"", ""staggered"", ""revealing"", ""vertical""]",2026-08-30T15:10:31
3D-Rolodex-Flip,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""edgy"", ""confident"", ""artistic"", ""3d"", ""depth"", ""dimensional"", ""perspective"", ""vertical"", ""dynamic"", ""immersive""]",,,Typographic_interactions/3D-Rolodex-Flip.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""edgy"", ""confident"", ""artistic"", ""3d"", ""depth"", ""dimensional"", ""perspective"", ""vertical""]",2026-08-30T15:11:33
Accelerated3DSpin,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""edgy"", ""artistic"", ""cool"", ""endless"", ""continuous"", ""3d"", ""depth"", ""perspective"", ""circular"", ""layered"", ""dynamic"", ""immersive""]",,,Typographic_interactions/Accelerated3DSpin.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""edgy"", ""artistic"", ""cool"", ""endless"", ""continuous"", ""3d"", ""depth"", ""perspective"", ""circular""]",2026-08-30T14:39:17
Aura Stack,,"[""smooth"", ""clean"", ""refined"", ""elegant"", ""sophisticated"", ""understated"", ""polished"", ""seamless"", ""revealing"", ""staggered"", ""layered"", ""graceful"", ""gentle"", ""high-end""]",,,Typographic_interactions/Aura Stack.html,"[""smooth"", ""clean"", ""minimal"", ""refined"", ""elegant"", ""sophisticated"", ""understated"", ""polished"", ""seamless"", ""revealing"", ""staggered"", ""layered""]",2026-08-30T14:32:23
Blurry_Transition,,"[""gentle"", ""soft"", ""calm"", ""subtle"", ""smooth"", ""gradual"", ""elegant"", ""classic"", ""refined"", ""understated"", ""minimal"", ""revealing"", ""cloudy"", ""clean"", ""transformative"", ""sophisticated""]",,,Typographic_interactions/Blurry_Transition.html,"[""gentle"", ""soft"", ""calm"", ""subtle"", ""smooth"", ""gradual"", ""elegant"", ""classic"", ""refined"", ""understated"", ""minimal"", ""revealing""]",2026-08-30T14:17:59
Circular_Scroll_Nav,,"[""circular"", ""spiraling"", ""dynamic"", ""bold"", ""staggered"", ""structured"", ""organized"", ""playful"", ""poppy"", ""alive"", ""confident"", ""cool"", ""edgy"", ""surprising"", ""vertical""]",,,Typographic_interactions/Circular_Scroll_Nav.html,"[""circular"", ""spiraling"", ""dynamic"", ""bold"", ""staggered"", ""structured"", ""organized"", ""playful"", ""poppy"", ""alive"", ""confident"", ""cool""]",2026-08-30T14:28:25
Editorial Text Reveal,,"[""smooth"", ""clean"", ""refined"", ""sophisticated"", ""elegant"", ""polished"", ""structured"", ""gradual"", ""horizontal"", ""layered"", ""revealing"", ""staggered"", ""horizontal scroll""]",,,Typographic_interactions/Editorial Text Reveal.html,"[""smooth"", ""clean"", ""minimal"", ""refined"", ""sophisticated"", ""elegant"", ""polished"", ""structured"", ""gradual"", ""horizontal"", ""layered"", ""revealing"", ""staggered""]",2026-08-30T14:35:38
Gooey_text,,"[""experimental"", ""bold"", ""graphic"", ""creative"", ""unique"", ""edgy"", ""attention-grabbing"", ""organic"", ""transformative"", ""revealing"", ""endless"", ""continuous"", ""immersive"", ""artistic"", ""impactful"", ""unconventional"", ""dynamic"", ""expressive"", ""surprising""]",,,Typographic_interactions/Gooey_text.html,"[""experimental"", ""bold"", ""graphic"", ""creative"", ""unique"", ""edgy"", ""attention-grabbing"", ""organic"", ""transformative"", ""revealing"", ""endless"", ""continuous"", ""immersive""]",2026-08-30T14:30:38
Headline_Images_Overlay,,"[""elegant"", ""sophisticated"", ""artistic"", ""high-end"", ""minimal"", ""refined"", ""graphic"", ""shape"", ""revealing"", ""transformative"", ""endless"", ""continuous"", ""immersive""]",,,Typographic_interactions/Headline_Images_Overlay.html,,2026-08-30T15:12:34
IconText Pro gallery,,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""refined"", ""elegant"", ""silky"", ""organized"", ""structured"", ""alive"", ""horizontal"", ""bold""]",,,Typographic_interactions/IconText Pro gallery.html,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""refined"", ""elegant"", ""minimal"", ""sophisticated"", ""silky"", ""organized"", ""structured"", ""alive"", ""horizontal""]",2026-08-30T15:20:10
Marquee_Scroll_Velocity,,"[""bold"", ""graphic"", ""impactful"", ""attention-grabbing"", ""dynamic"", ""energetic"", ""edgy"", ""endless"", ""horizontal"", ""continuous"", ""seamless"", ""flowing"", ""immersive"", ""techy""]",,,Typographic_interactions/Marquee_Scroll_Velocity.html,"[""bold"", ""graphic"", ""impactful"", ""attention-grabbing"", ""dynamic"", ""energetic"", ""edgy"", ""endless"", ""horizontal"", ""continuous"", ""seamless"", ""flowing"", ""immersive""]",2026-08-30T14:27:57
Mindshift Transition,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""confident"", ""elegant"", ""sophisticated"", ""revealing"", ""transformative"", ""shape"", ""horizontal"", ""gradual"", ""continuous"", ""immersive"", ""organic""]",,,Typographic_interactions/Mindshift Transition.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""confident"", ""elegant"", ""sophisticated"", ""revealing"", ""transformative"", ""shape"", ""horizontal"", ""gradual"", ""continuous""]",2026-08-30T14:36:40
